Nouvelle version: https://lnkd.in/dH5Uq4z9,,,
Titre,Société,Description,Lien
Stage D'été,E-Tafakna Legal,"Nous recherchons des stagiaires motivés et passionnés par l'Intelligence Artificielle pour rejoindre notre équipe dynamique cet été ! Vous aurez l'opportunité de :✅ Travailler sur des projets concrets en IA (Machine Learning, Deep Learning, NLP, Computer Vision, etc.).✅ Collaborer avec une équipe d'experts et développer vos compétences techniques.✅ Participer à la résolution de défis innovants dans un environnement stimulant.",https://www.tanitjobs.com/job/1821043/stage-d-%C3%A9t%C3%A9/?backPage=4&searchID=1612439710.1544&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Offre de Stage Été en Marketing & Communication Digitale,E-Tafakna Legal,"Nous recherchons un(e) stagiaire dynamique et créatif(ve) pour rejoindre notre équipe Marketing & Communication Digitale cet été ! Missions principales :✅ Participer à la création et gestion de campagnes digitales (réseaux sociaux, emailing, SEO/SEA, etc.).✅ Aider à la production de contenus engageants (posts, vidéos, infographies, articles).✅ Analyser les performances et proposer des optimisations.✅ Contribuer à la stratégie digitale et aux actions d’influence.",https://www.tanitjobs.com/job/1821044/offre-de-stage-%C3%A9t%C3%A9-en-marketing-communication-digitale/?backPage=1&searchID=1748477278.9514&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Stage d'été Animatrice club coding & Robotic,TECH & SKILLS,"Coding & Robotic Club sis à El Mourouj, recherche une étudiante passionnée en informatique, électronique ou systèmes embarqués pour un stage d'été pour animer des ateliers autour de la robotique et de la programmation pour enfants/adolescents.",https://www.tanitjobs.com/job/1820432/stage-d-%C3%A9t%C3%A9-animatrice-club-coding-robotic/?backPage=1&searchID=1748352976.3537&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Offre de stage d'été : Documentation & Archivage,Figeac aero,-Classement et archivage de documents-Numérisation et mise à jour de la base documentaire-Contribution à l’organisation du système d’archivage,https://www.tanitjobs.com/job/1821172/offre-de-stage-d-%C3%A9t%C3%A9-documentation-archivage/?backPage=1&searchID=1748427840.8502&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Stage d'été-Finance,Entreprise Anonyme,"Vous êtes étudiant(e) en Finance et vous souhaitez acquérir une expérience enrichissante dans le domaine ? Notre groupe vous ouvre ses portes pour un stage d’été stimulant et formateur !

Durée : [juin & juillet & aout]

Niveau : Étudiants : licence en finance ou équivalent

Rémunération selon le profil

Exigences de l'emploi

Principales responsabilités :

▪ Tâches administratives diverses

▪ Gestion de certaines tâches liées au service financier.

Profil recherché :

▪ Étudiant(e) en 1ʳᵉ ou 2ᵉ année d’études supérieures (Licence ou équivalent)

▪ Sérieux(se), rigoureux(se) et motivé(e)

▪ Bonnes capacités de communication et sens de l’organisation

▪ Maîtrise des outils bureautiques (Word, Excel)

▪ Disponible à partir du 01 juin

▪ Durée du stage 3 mois

📍 Localisation : CHARGUIA 2

Ce stage constitue une excellente opportunité de découvrir le fonctionnement d’un service financier au sein d’une entreprise structurée et dynamique.",https://www.keejob.com/offres-emploi/222182/stage-d%C3%A9t%C3%A9-finance-/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Stage d'été - Spécialiste Prépresse,TunUp_A Cimpress Company,"Mission :

Pixartprinting spa recherche un Spécialiste Prépresse.

Le candidat(e) devra vérifier et standardiser les fichiers fournis par les clients pour qu'ils répondent aux exigences techniques, en les modifiant si nécessaire grâce à ses compétences en design, ses aptitudes en communication et des outils en ligne.

Il/Elle sera également chargé(e) d'identifier et de bloquer les commandes non conformes.

Rôles & responsabilités :
• Gestion de flux prépresse
• Contrôle et mise en norme des fichiers clients
• Retouche graphique basique
• Validation et/ ou Blocage des commandes non conformes
• Suivi des commandes non conformes
• Atteinte des objectifs opérationnels fixés

Exigences :
• Maitrise des outils de Design (Adobe Illustrator, Photoshop, InDesign et Acrobat Pro )
• Maitrise de la langue Française à l'oral et à l'écrit.
• Connaissance de la suite Office
• Connaissance du catalogue produit

Profils :
• Capacité à travailler en équipe
• Capacité de gestion du stress
• Disponibilité et flexibilité
• Capacité à travailler dans un environnement ambigu et à rechercher la qualité du service rendu
• Capacité d'apprentissage dans un environnement ambigu et Souci de développement des compétences professionnelles
• Autonomie",https://tn.linkedin.com/jobs/view/stage-d-%C3%A9t%C3%A9-sp%C3%A9cialiste-pr%C3%A9presse-at-tunup-a-cimpress-company-4228948674?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Stage d'été service commercial et laboratoire,Entreprise Anonyme,"Notre société fondée depuis 1984, nous sommes leader dans le marché de fabrication et commercialisons des produits d’entretien de qualité pour le nettoyage et la désinfection dans différents domaines en collectivité et agroalimentaires,

Usine installé à la Zone industrielle Mghira, nous cherchons des stagiaires d'été pour notre laboratoire et notre service commercial.

Si vous êtes intéressé, n'hésitez pas de postuler",https://www.keejob.com/offres-emploi/221544/stage-d%C3%A9t%C3%A9-service-commercial-et-laboratoire/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Stage d'été Marketing Digital (Wordpress obligatoire),Tech-Expert,"Contexte
Jeune entreprise dynamique et à taille humaine, Tech-Expert est une société de développement informatique spécialisée dans les technologies du secteur du recrutement #RecTech #Tech4Rec .
Nous offrons un accompagnement agile de bout en bout : de l’architecture à l’exploitation des applications en production en passant par le développement d'applications Web pouvant inclure de l'intelligence artificielle, l’intégration d'applications d'entreprises, le test logiciel et le déploiement.

Digitalisation et automatisation de processus pour gagner en efficacité
Intégrations de différentes solutions digitales (SaaS et on-premise) pour fluidifier les opérations
Valorisation des données pour une milleure prise de décision
Utilisation de l'IA et de la GenAI pour améliorer les expériences utlisateurs

Travaux à réaliser
Avec l’aide d’un encadrant, le stagiaire conduira les travaux suivants :

Audit du site actuel et benchmark de sites concurrents ou comparables

Proposition d’un plan de refonte des contenus stratégiques (hiérarchie, ton, SEO)

Création ou amélioration des rubriques :

Références projets / missions clients

Témoignages clients et collaborateurs

Blog : rédaction ou édition d’articles thématiques (tech, RH, business)

Pages carrière / marque employeur

Optimisation SEO (métadonnées, mots-clés, maillage interne)

Définir et mettre en place des stratégies de marketing digital adaptées

Conception et production de contenus de marketing digital (articles, posts linkedin, images, posters, vidéos etc.).",https://www.tanitjobs.com/job/1817398/stage-d-%C3%A9t%C3%A9-marketing-digital-wordpress-obligatoire/?backPage=1&searchID=1748173758.6541&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Stage d’été : IA / Machine Learning,STARTNOW&CO,"StartNow est une entreprise spécialisée dans la digitalisation des systèmes d’informations avec sa variété de produits internes.

Dans le cadre de nos projets de R&D en intelligence artificielle, nous recherchons un(e) stagiaire motivé(e) pour contribuer au développement de modèles d’IA innovants dans un environnement dynamique et collaboratif. Le stage portera sur l’analyse, l’entraînement et l’optimisation de modèles IA appliqués à des cas concrets.

Mission :
• Collecter, nettoyer et préparer des jeux de données.
• Développer et entraîner des modèles de Machine Learning ou Deep Learning (ex : CNN, LLM,...).
• Évaluer et comparer les performances des modèles.
• Intégrer les modèles dans une application ou une API si nécessaire.
• Présenter les résultats à l’équipe R&D avec visualisation et documentation claire.
• Assurer la conformité et la stabilité des livrables en haute qualité.
• Travailler en méthodologie agile Scrum.

Exigences :
• Niveau requis : Bac+3 à Bac+5 en Informatique / Data Science.
• Connaissances en IA, ML, ou Deep Learning.
• Pratique de Python et des librairies courantes (TensorFlow, PyTorch, scikit-learn, pandas, etc.).
• Bonne compréhension des algorithmes d’apprentissage supervisé et non supervisé.
• Sens de l’analyse, rigueur, esprit d’équipe et curiosité technique.
• Bon niveau en français et en anglais.

Avantages :
• Projets variés et innovants avec différents métiers.
• Un environnement agile, orienté innovation.
• Possibilité d’accompagnement après la période de stage (part-time job).
• Télétravail et déplacement.

Mots clés: IA,Data Science, Machine Learning, Deep Learning, GANs, Python, pandas / NumPy, Keras, FastAPI / Flask, REST API, Postman.",https://www.keejob.com/offres-emploi/221871/stage-d%C3%A9t%C3%A9-ia-machine-learning/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Stage d'été Assistant(e) Chef De Projet (SEACP2025),Smart Conseil,"À propos de Smart Conseil Smart Conseil est un éditeur de logiciels avec une branche conseille spécialisée dans l’intelligence artificielle, le Big Data et les technologies de demain. Nous développons des solutions innovantes pour la maintenance prédictive, la connaissance client et les modèles prédictifs comportementaux, tout en accompagnant nos clients dans leurs projets d’ingénierie des données, d’apprentissage automatique et de science des données.
Vos missions En collaboration avec nos équipes, vous serez responsable de :

Gestion de projet : Mettre en place et suivre les projets ainsi que les plannings associés.
Coordination interservices : Assurer une liaison efficace entre les différents services de l’entreprise.
Préparation et animation de réunions : Organiser des réunions internes et externes, les animer et rédiger les comptes rendus.
Supports et formation : Participer à la création de supports de formation dédiés aux différentes équipes.
Adaptation stratégique : Remonter les retours du terrain pour ajuster les stratégies en cours.
Livrables projet : Définir et s’assurer de la livraison des livrables internes et contractuels dans les délais impartis et avec la qualité requise.
Proposition de solutions : Élaborer des plans d’actions adaptés, les mettre en œuvre et suivre leur évolution après validation par la direction projet.",https://www.tanitjobs.com/job/1817330/stage-d-%C3%A9t%C3%A9-assistant-e-chef-de-projet-seacp2025/?backPage=4&searchID=1724239975.0402&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
